2024-02-12 17:31:25,574 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_01_L.wav
2024-02-12 17:31:25,574 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_02_H.wav
2024-02-12 17:31:25,574 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_02_H.wav
2024-02-12 17:31:25,574 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_02_H.wav
2024-02-12 17:31:25,574 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_02_L.wav
2024-02-12 17:31:25,574 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_02_L.wav
2024-02-12 17:31:25,575 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_02_L.wav
2024-02-12 17:31:25,575 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_03_H.wav
2024-02-12 17:31:25,575 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_03_H.wav
2024-02-12 17:31:25,575 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_03_H.wav
2024-02-12 17:31:25,575 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_03_L.wav
2024-02-12 17:31:25,575 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_03_L.wav
2024-02-12 17:31:25,575 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_03_L.wav
2024-02-12 17:31:25,575 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_04_H.wav
2024-02-12 17:31:25,575 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_04_H.wav
2024-02-12 17:31:25,575 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_04_H.wav
2024-02-12 17:31:25,575 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_04_L.wav
2024-02-12 17:31:25,575 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_04_L.wav
2024-02-12 17:31:25,575 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_04_L.wav
2024-02-12 17:31:25,575 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_05_H.wav
2024-02-12 17:31:25,575 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_05_H.wav
2024-02-12 17:31:25,575 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_05_H.wav
2024-02-12 17:31:25,575 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_05_L.wav
2024-02-12 17:31:25,576 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_05_L.wav
2024-02-12 17:31:25,576 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_05_L.wav
2024-02-12 17:31:25,576 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_06_H.wav
2024-02-12 17:31:25,576 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_06_H.wav
2024-02-12 17:31:25,576 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_06_H.wav
2024-02-12 17:31:25,576 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_06_L.wav
2024-02-12 17:31:25,576 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_06_L.wav
