2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST_M_A_02.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST_M_I_01.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST_M_I_02.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST_M_Q_01.wav
2023-11-18 21:50:13,061 - root - INFO - get_person 		 - SUCCESS for: TEST_M_Q_01.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST_M_Q_01.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST_M_Q_02.wav
2023-11-18 21:50:13,061 - root - INFO - get_person 		 - SUCCESS for: TEST_M_Q_02.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: TEST_M_Q_02.wav
2023-11-18 21:50:13,061 - root - INFO - (['TEST2_M_A_01.wav', 'TEST2_M_A_02.wav', 'TEST2_M_A_03.wav', 'TEST2_M_A_04.wav', 'TEST_M_A_01.wav', 'TEST_M_A_02.wav'], ['0_M_Q_01.wav', '0_M_Q_02.wav', '0_M_Q_03.wav', '0_M_Q_04.wav', '0_M_Q_05.wav', '0_M_Q_06.wav', '0_M_Q_07.wav', 'AI_M_Q_01.wav', 'AI_M_Q_02.wav', 'AI_M_Q_03.wav', 'AI_M_Q_04.wav', 'AI_M_Q_05.wav', 'AI_M_Q_06.wav', 'AI_M_Q_07.wav', 'TEST2_M_Q_01.wav', 'TEST2_M_Q_02.wav', 'TEST2_M_Q_03.wav', 'TEST2_M_Q_04.wav', 'TEST_M_Q_01.wav', 'TEST_M_Q_02.wav'], ['TEST2_M_I_01.wav', 'TEST2_M_I_02.wav', 'TEST2_M_I_03.wav', 'TEST2_M_I_04.wav', 'TEST_M_I_01.wav', 'TEST_M_I_02.wav'], {'TEST2': 4, 'TEST': 2}, {'0': 7, 'AI': 7, 'TEST2': 4, 'TEST': 2})
2023-11-18 21:50:13,061 - root - INFO - get_person 		 - SUCCESS for: 0_M_Q_01.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: 0_M_Q_01.wav
2023-11-18 21:50:13,061 - root - INFO - get_person 		 - SUCCESS for: 0_M_Q_02.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: 0_M_Q_02.wav
2023-11-18 21:50:13,061 - root - INFO - get_person 		 - SUCCESS for: 0_M_Q_03.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: 0_M_Q_03.wav
2023-11-18 21:50:13,061 - root - INFO - get_person 		 - SUCCESS for: 0_M_Q_04.wav
2023-11-18 21:50:13,061 - root - INFO - get_type 		 - SUCCESS for: 0_M_Q_04.wav
